Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7938877043354655,0.6337579617834395,0.5320855614973262,0.5784883720930233,0.8364984909743182
Random Forest,0.7683013503909026,0.5555555555555556,0.6417112299465241,0.5955334987593052,0.8208323195510713
XGBoost,0.7917555081734187,0.6253869969040248,0.5401069518716578,0.5796269727403156,0.8264465162990303
