Model,FPR,TPR
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.00267379679144385
Logistic Regression,0.000968054211035818,0.00267379679144385
Logistic Regression,0.000968054211035818,0.026737967914438502
Logistic Regression,0.001936108422071636,0.026737967914438502
Logistic Regression,0.001936108422071636,0.058823529411764705
Logistic Regression,0.002904162633107454,0.058823529411764705
Logistic Regression,0.002904162633107454,0.09090909090909091
Logistic Regression,0.003872216844143272,0.09090909090909091
Logistic Regression,0.003872216844143272,0.09358288770053476
Logistic Regression,0.00484027105517909,0.09358288770053476
Logistic Regression,0.00484027105517909,0.0962566844919786
Logistic Regression,0.005808325266214908,0.0962566844919786
Logistic Regression,0.005808325266214908,0.10695187165775401
Logistic Regression,0.006776379477250726,0.10695187165775401
Logistic Regression,0.006776379477250726,0.10962566844919786
Logistic Regression,0.007744433688286544,0.10962566844919786
Logistic Regression,0.007744433688286544,0.11229946524064172
Logistic Regression,0.008712487899322363,0.11229946524064172
Logistic Regression,0.008712487899322363,0.12032085561497326
Logistic Regression,0.00968054211035818,0.12032085561497326
Logistic Regression,0.00968054211035818,0.12299465240641712
Logistic Regression,0.010648596321393998,0.12299465240641712
Logistic Regression,0.010648596321393998,0.13368983957219252
Logistic Regression,0.012584704743465635,0.13368983957219252
Logistic Regression,0.012584704743465635,0.13903743315508021
Logistic Regression,0.01452081316553727,0.13903743315508021
Logistic Regression,0.01452081316553727,0.1443850267379679
Logistic Regression,0.015488867376573089,0.1443850267379679
Logistic Regression,0.015488867376573089,0.14705882352941177
Logistic Regression,0.016456921587608905,0.14705882352941177
Logistic Regression,0.016456921587608905,0.15240641711229946
Logistic Regression,0.017424975798644726,0.15508021390374332
Logistic Regression,0.017424975798644726,0.15775401069518716
Logistic Regression,0.018393030009680542,0.15775401069518716
Logistic Regression,0.018393030009680542,0.1711229946524064
Logistic Regression,0.01936108422071636,0.17379679144385027
Logistic Regression,0.01936108422071636,0.18181818181818182
Logistic Regression,0.022265246853823813,0.18181818181818182
Logistic Regression,0.022265246853823813,0.1925133689839572
Logistic Regression,0.023233301064859633,0.1925133689839572
Logistic Regression,0.023233301064859633,0.19518716577540107
Logistic Regression,0.027105517909002903,0.19518716577540107
Logistic Regression,0.027105517909002903,0.21122994652406418
Logistic Regression,0.028073572120038724,0.21122994652406418
Logistic Regression,0.028073572120038724,0.2192513368983957
Logistic Regression,0.02904162633107454,0.2192513368983957
Logistic Regression,0.02904162633107454,0.22192513368983957
Logistic Regression,0.030009680542110357,0.22192513368983957
Logistic Regression,0.030009680542110357,0.23796791443850268
Logistic Regression,0.031945788964181994,0.23796791443850268
Logistic Regression,0.031945788964181994,0.24064171122994651
Logistic Regression,0.03291384317521781,0.24064171122994651
Logistic Regression,0.03291384317521781,0.24866310160427807
Logistic Regression,0.03388189738625363,0.24866310160427807
Logistic Regression,0.03388189738625363,0.25133689839572193
Logistic Regression,0.03484995159728945,0.25133689839572193
Logistic Regression,0.03484995159728945,0.2540106951871658
Logistic Regression,0.0377541142303969,0.2540106951871658
Logistic Regression,0.0377541142303969,0.2727272727272727
Logistic Regression,0.03872216844143272,0.2727272727272727
Logistic Regression,0.03872216844143272,0.27540106951871657
Logistic Regression,0.03969022265246854,0.27540106951871657
Logistic Regression,0.03969022265246854,0.28342245989304815
Logistic Regression,0.04065827686350436,0.28342245989304815
Logistic Regression,0.04065827686350436,0.2967914438502674
Logistic Regression,0.041626331074540175,0.2967914438502674
Logistic Regression,0.041626331074540175,0.30213903743315507
Logistic Regression,0.04356243949661181,0.30213903743315507
Logistic Regression,0.04356243949661181,0.3048128342245989
Logistic Regression,0.044530493707647625,0.3048128342245989
Logistic Regression,0.044530493707647625,0.3074866310160428
Logistic Regression,0.04743465634075508,0.3074866310160428
Logistic Regression,0.04743465634075508,0.31016042780748665
Logistic Regression,0.049370764762826716,0.31016042780748665
Logistic Regression,0.049370764762826716,0.31283422459893045
Logistic Regression,0.05033881897386254,0.31283422459893045
Logistic Regression,0.05033881897386254,0.32085561497326204
Logistic Regression,0.05227492739593417,0.32085561497326204
Logistic Regression,0.05227492739593417,0.32620320855614976
Logistic Regression,0.05324298160696999,0.32620320855614976
Logistic Regression,0.05324298160696999,0.32887700534759357
Logistic Regression,0.05421103581800581,0.32887700534759357
Logistic Regression,0.05421103581800581,0.3342245989304813
Logistic Regression,0.05614714424007745,0.3342245989304813
Logistic Regression,0.05614714424007745,0.339572192513369
Logistic Regression,0.057115198451113264,0.339572192513369
